(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(-7.904722222222222, 112.95083333333334)
(-7.7908333333333335, 113.73722222222223)
(None, None)
(None, None)
(-8.065000000000001, 114.23666666666666)
(-8.061111111111112, 114.24388888888889)
(-8.061111111111112, 114.24416666666667)
(-8.074166666666667, 114.22333333333333)
(-8.148055555555555, 114.40944444444445)
(-8.522777777777778, 115.28694444444444)
(-8.522777777777778, 115.2875)
(-8.522777777777778, 115.2875)
(-8.523611111111112, 115.275)
(-8.523611111111112, 115.275)
(-8.51388888888889, 115.26416666666667)
(-8.515833333333333, 115.26138888888889)
(-8.506666666666666, 115.2625)
(-8.4125, 115.83444444444444)
(-8.363333333333333, 116.04305555555555)
(-8.362499999999999, 116.05388888888889)
(-8.36361111111111, 116.05666666666666)
(-8.364444444444445, 116.08305555555555)
(-8.364166666666666, 116.08305555555555)
(-8.361388888888888, 116.07833333333333)
(-8.361388888888888, 116.07833333333333)
(-8.361388888888888, 116.07833333333333)
(-8.362777777777778, 116.07694444444444)
(-8.362777777777778, 116.07694444444444)
(-8.362777777777778, 116.07694444444444)
(-8.362777777777778, 116.07694444444444)
(-8.362777777777778, 116.07694444444444)
(-8.361388888888888, 116.07833333333333)
(-8.361388888888888, 116.07833333333333)
(-8.361388888888888, 116.07833333333333)
(-8.361388888888888, 116.07805555555555)
(-8.353055555555555, 116.075)
(-8.353055555555555, 116.075)
(-8.353055555555555, 116.075)
(-8.353055555555555, 116.075)
(-8.35388888888889, 116.04277777777777)
(-8.355, 116.03999999999999)
(-8.355, 116.03972222222222)
(-8.341111111111111, 116.04166666666667)
(-8.341944444444445, 116.04194444444444)
(-8.350833333333332, 116.04444444444444)
(-8.350833333333332, 116.04444444444444)
(-8.355555555555556, 116.03944444444444)
(-8.359722222222222, 116.0375)
(-8.359722222222222, 116.0375)
(-8.360833333333334, 116.03861111111111)
(-8.36111111111111, 116.03916666666666)
(-8.355, 116.03999999999999)
(-8.355, 116.03999999999999)
(-8.356666666666666, 116.04194444444444)
(-8.501944444444444, 116.045)
(-8.501944444444444, 116.04527777777777)
(-8.501944444444444, 116.04527777777777)
(-8.501111111111111, 116.0475)
(-8.500833333333333, 116.0475)
(-8.509444444444444, 116.05666666666666)
(-8.86111111111111, 116.28305555555555)
(-8.893333333333333, 116.28055555555555)
(-8.883333333333333, 116.27388888888889)
(-8.883333333333333, 116.27388888888889)
(-8.883333333333335, 116.27388888888889)
(-8.883333333333333, 116.27388888888889)
(-8.883055555555556, 116.27361111111111)
(-8.883333333333333, 116.27388888888889)
(-8.890833333333333, 116.27694444444444)
(-8.883333333333333, 116.27388888888889)
(None, None)
(-7.752458055555556, 110.48822138888889)
(-7.752068055555555, 110.48825472222222)
(-7.752045, 110.48822972222223)
(-7.752035, 110.48848)
(-7.75203, 110.48847805555556)
(-7.752234722222222, 110.488695)
(-7.752264722222222, 110.48866638888889)
(-7.752088055555555, 110.48850138888889)
(-7.7521080555555555, 110.4884713888889)
(-7.752118055555556, 110.48859305555555)
(-7.752068055555555, 110.48861638888889)
(-7.75214, 110.48854138888889)
(-7.75215, 110.48850305555555)
(-7.752039722222222, 110.48858138888889)
(-7.752143055555556, 110.48852638888889)
(-7.752126388888889, 110.48851305555556)
(-7.752128055555556, 110.48849305555555)
(-7.752116388888889, 110.48846472222222)
(-7.752105, 110.48846305555556)
(-7.752093055555555, 110.48845305555555)
(-7.75214, 110.48844805555555)
(-7.752143055555556, 110.48845305555555)
(-7.751928055555555, 110.48837472222222)
(-7.751961388888889, 110.48890138888889)
(-7.75199, 110.48890305555555)
(-7.7519913888888885, 110.488905)
(-7.751988055555556, 110.48890138888889)
(-7.751966388888889, 110.48892638888888)
(-7.751983055555556, 110.48893805555555)
(None, None)
(None, None)
(-7.607183055555555, 110.17786472222222)
(-7.60722, 110.17774472222223)
(-7.607176388888888, 110.17773138888889)
(-7.607231388888889, 110.17769)
(-7.607279722222222, 110.1774913888889)
(-7.607293055555555, 110.17749972222222)
(-7.607234722222222, 110.17752805555556)
(-7.607234722222222, 110.17752805555556)
(-7.6072363888888885, 110.17752805555556)
(-7.6072363888888885, 110.17752805555556)
(-7.607126388888888, 110.17747805555555)
(-7.607148055555555, 110.1775263888889)
(-7.607108055555555, 110.17760805555557)
(-7.607978055555555, 110.20451805555555)
(-7.607968055555555, 110.20454638888889)
(-7.607934722222222, 110.20428138888889)
(-7.607946388888888, 110.20423000000001)
(-7.608159722222222, 110.20417)
(-7.608228055555555, 110.20411972222223)
(-7.608243055555556, 110.203935)
(-7.608229722222222, 110.20387972222223)
(-7.608021388888888, 110.20347638888889)
(None, None)
(-7.607934722222222, 110.20357138888889)
(-7.607938055555556, 110.20356138888889)
(-7.607946388888888, 110.2038163888889)
(-7.607934722222222, 110.20387805555556)
(-7.607934722222222, 110.20387805555556)
(-7.607939999999999, 110.20388472222223)
(-7.607978055555555, 110.20379972222223)
(-7.607978055555555, 110.20373638888888)
(-7.607976388888889, 110.20373805555556)
(None, None)
(-7.607994722222222, 110.20377500000001)
(-7.607881388888888, 110.20375638888889)
(-7.607838055555555, 110.20378305555556)
(-7.607921388888888, 110.20378138888888)
(-7.6079180555555554, 110.20394472222223)
(-7.607741388888889, 110.20387138888889)
(-7.607343055555555, 110.203835)
(-7.607388055555555, 110.20433638888889)
(-7.607384722222222, 110.20433638888889)
(-7.607478055555555, 110.20438305555555)
(-7.607686388888888, 110.20463638888889)
(-7.810094722222222, 110.3594)
(-7.810071388888889, 110.35940805555555)
(-7.8100813888888885, 110.35946138888889)
(-7.810078055555556, 110.35946138888889)
(-7.81009, 110.35944805555555)
(None, None)
(-7.8103163888888885, 110.35895805555555)
(None, None)
(-7.809989722222222, 110.35882)
(None, None)
(None, None)
(-7.808623055555556, 110.35911999999999)
(-7.808541388888889, 110.35910638888889)
(-7.808558055555555, 110.35911472222222)
(-7.808848055555555, 110.35923805555555)
(None, None)
(None, None)
(None, None)
(-7.904713055555556, 112.9510763888889)
(-7.904726388888889, 112.95109305555556)
(-7.904743055555556, 112.9510913888889)
(-7.904738055555556, 112.951105)
(-7.904731388888889, 112.95110305555556)
(-7.904604722222222, 112.95116138888889)
(-7.904538055555556, 112.95105972222223)
(-7.90468, 112.9510913888889)
(-7.904734722222223, 112.95105805555556)
(-7.904736388888889, 112.95107805555556)
(-7.904725, 112.95108972222222)
(-7.904726388888889, 112.9510913888889)
(-7.9047197222222225, 112.95109638888889)
(-7.904701388888889, 112.9511213888889)
(-7.904721388888889, 112.95108972222222)
(-7.904728055555556, 112.95106472222223)
(None, None)
(-7.904745, 112.95110805555557)
(-7.90471638888889, 112.9510913888889)
(-7.904718055555556, 112.95108305555556)
(-7.904710000000001, 112.95107305555555)
(-7.904708055555556, 112.95105638888889)
(-7.904703055555556, 112.95105638888889)
(-7.904713055555556, 112.95106305555557)
(-7.9048050000000005, 112.9512113888889)
(-7.904713055555556, 112.95111305555555)
(-7.904728055555556, 112.95108972222222)
(-7.904725, 112.95108)
(-7.904683055555556, 112.9510463888889)
(-7.904713055555556, 112.95108805555556)
(-7.904604722222222, 112.95117305555556)
(-7.9046030555555555, 112.95117805555556)
(-7.904706388888889, 112.9510313888889)
(-7.904715, 112.95101138888889)
(-7.904745, 112.95103305555556)
(-7.904715, 112.95104)
(-7.904733055555556, 112.95105638888889)
(-7.904738055555556, 112.95105000000001)
(-7.904538055555556, 112.95117972222222)
(-7.904113055555556, 112.95150638888889)
(-7.903736388888889, 112.95198305555556)
(-7.903928055555556, 112.9504213888889)
(-7.903628055555556, 112.95008305555555)
(None, None)
(None, None)
(-7.938523055555556, 112.95325472222223)
(-7.938531388888889, 112.95318)
(-7.938531388888889, 112.95318)
(-7.939073055555556, 112.95281305555555)
(-7.939128055555556, 112.95281138888889)
(None, None)
(None, None)
(-7.940114722222223, 112.95271305555556)
(-7.940143055555556, 112.95279972222222)
(-7.94017, 112.95283472222222)
(-7.940163055555556, 112.95276472222223)
(-7.940198055555555, 112.95273805555556)
(-7.940204722222222, 112.95273972222222)
(-7.9401947222222224, 112.95273)
(-7.940166388888889, 112.9527463888889)
(-7.94017, 112.95269305555556)
(-7.940136388888889, 112.9527363888889)
(-7.940136388888889, 112.9527363888889)
(-7.940144722222223, 112.95273972222222)
(-7.940110000000001, 112.95300805555556)
(-7.940084722222222, 112.95301805555556)
(-7.9400997222222225, 112.95302000000001)
(-7.940101388888889, 112.95301472222222)
(-7.9400997222222225, 112.9530063888889)
(-7.940101388888889, 112.95307305555556)
(-7.940119722222223, 112.9531013888889)
(-7.9401213888888895, 112.9531413888889)
(-7.94014, 112.95316805555557)
(-7.9401463888888895, 112.9536363888889)
(-7.940144722222223, 112.95364472222222)
(-7.940156388888889, 112.953835)
(-7.940181388888889, 112.95386500000001)
(-7.9401850000000005, 112.95386500000001)
(-7.9401850000000005, 112.95386500000001)
(-7.9401947222222224, 112.95386500000001)
(-7.940196388888889, 112.95386305555556)
(-7.940119722222223, 112.95351638888889)
(-7.940138055555556, 112.95353305555555)
(-7.921861388888889, 112.9648313888889)
(None, None)
(-7.92142138888889, 112.99988305555556)
(-7.920806388888889, 112.99950305555555)
(None, None)
(None, None)
(None, None)
(-7.987996388888889, 114.17204805555556)
(-7.98786, 114.17263305555556)
(-7.987991388888889, 114.17205138888889)
(-7.987956388888889, 114.17203805555556)
(None, None)
(None, None)
(-8.065035, 114.23671305555555)
(-8.063585000000002, 114.2385563888889)
(-8.063880000000001, 114.23914)
(-8.064038055555557, 114.23917805555556)
(-8.064033055555557, 114.23916805555555)
(-8.064033055555557, 114.23916805555555)
(None, None)
(-8.06355138888889, 114.24495972222222)
(-8.063028055555556, 114.24615638888889)
(-8.061008055555556, 114.24416638888889)
(-8.061018055555556, 114.24418805555555)
(-8.061163055555557, 114.24417472222223)
(-8.06111138888889, 114.24413138888889)
(-8.061115000000001, 114.24412138888889)
(-8.06113138888889, 114.24411972222222)
(-8.061108055555556, 114.24411972222222)
(-8.061113055555555, 114.24410805555556)
(-8.061103055555556, 114.24412638888889)
(-8.061113055555555, 114.24411972222222)
(-8.06107, 114.2441513888889)
(-8.061059722222224, 114.24413305555555)
(-8.060608055555557, 114.24423138888889)
(-8.06095138888889, 114.24415805555556)
(None, None)
(-8.061058055555556, 114.24408138888889)
(-8.06106638888889, 114.24408805555555)
(-8.06113638888889, 114.24427805555555)
(-8.061115000000001, 114.24430305555556)
(-8.061113055555555, 114.24430305555556)
(-8.061029722222223, 114.24431305555555)
(-8.061036388888889, 114.24437)
(-8.06072638888889, 114.24431)
(-8.06078138888889, 114.24432)
(-8.060259722222224, 114.2444263888889)
(-8.060218055555556, 114.24432138888889)
(-8.060198055555556, 114.24434638888889)
(-8.06020638888889, 114.24431638888889)
(-8.060198055555556, 114.24432)
(-8.060210000000001, 114.24432)
(-8.06020638888889, 114.24434305555556)
(-8.060210000000001, 114.24436472222223)
(-8.060220000000001, 114.2443713888889)
(-8.06022138888889, 114.2443763888889)
(-8.06029138888889, 114.24443138888888)
(-8.060334722222223, 114.24417)
(-8.060303055555556, 114.24422305555555)
(-8.060289722222223, 114.24429638888888)
(-8.060295, 114.24429638888888)
(-8.060231388888889, 114.24429305555556)
(-8.061343055555556, 114.24474972222222)
(None, None)
(-8.06172138888889, 114.24483638888888)
(-8.06194138888889, 114.24537638888889)
(-8.06195138888889, 114.24535305555555)
(-8.06177638888889, 114.24537972222222)
(-8.06178, 114.24537)
(-8.061865000000001, 114.24550305555556)
(-8.061868055555557, 114.24551)
(-8.06236638888889, 114.24617638888888)
(-8.06236638888889, 114.24617638888888)
(-8.062385, 114.24615)
(-8.062469722222223, 114.24615972222222)
(-8.071954999999999, 114.2262463888889)
(-8.071926388888889, 114.22623)
(-8.073858055555556, 114.22331972222223)
(None, None)
(None, None)
(None, None)
(-8.575783055555556, 115.29002138888889)
(-8.57508, 115.29013305555556)
(-8.575105, 115.29042305555555)
(-8.575116388888889, 115.29035972222222)
(-8.575126388888888, 115.29046138888889)
(-8.575086388888888, 115.29051638888889)
(-8.575111388888889, 115.29051472222223)
(-8.575123055555556, 115.29050805555555)
(-8.57514, 115.29038972222222)
(-8.575138055555556, 115.29054638888888)
(-8.575144722222221, 115.29059305555555)
(-8.575163055555555, 115.29041305555555)
(-8.575151388888889, 115.29041)
(-8.57514138888889, 115.29041305555555)
(-8.575123055555556, 115.29039805555556)
(-8.57505138888889, 115.29036305555556)
(None, None)
(-8.52322638888889, 115.28648305555555)
(-8.52319638888889, 115.28675138888889)
(-8.523218055555557, 115.28668972222222)
(-8.52321, 115.28668499999999)
(-8.523185000000002, 115.28668499999999)
(None, None)
(None, None)
(-8.523726388888889, 115.28642805555555)
(-8.523723055555557, 115.28642305555556)
(-8.52373638888889, 115.28647638888889)
(-8.52383138888889, 115.28647805555555)
(-8.52406638888889, 115.28645305555555)
(-8.52407138888889, 115.28647305555555)
(-8.524133055555556, 115.286525)
(-8.524123055555556, 115.28652305555555)
(-8.51375, 115.26504805555555)
(-8.513153055555556, 115.26537638888888)
(-8.512999722222222, 115.26532972222222)
(-8.512548055555555, 115.26541305555556)
(-8.512545, 115.26540638888889)
(-8.51219, 115.26546805555556)
(-8.510333055555556, 115.26562305555555)
(-8.506746388888889, 115.26270305555556)
(-8.506653055555555, 115.26294)
(-8.506796388888889, 115.26303805555555)
(-8.50668138888889, 115.26301972222223)
(-8.50667638888889, 115.26301)
(-8.506691388888889, 115.26303638888889)
(-8.506695, 115.26307638888889)
(-8.506704722222223, 115.26307805555555)
(-8.506689722222223, 115.26314138888888)
(-8.506688055555555, 115.26315138888889)
(-8.506716388888888, 115.26269305555556)
(-8.506706388888889, 115.2626813888889)
(-8.506703055555555, 115.26267805555555)
(-8.506691388888889, 115.26188638888888)
(-8.505471388888889, 115.25905805555556)
(-8.505433055555555, 115.25893305555556)
(-8.50668138888889, 115.26262638888889)
(None, None)
(-8.506696388888889, 115.26261805555555)
(-8.50672138888889, 115.26265805555556)
(-8.506706388888889, 115.26265)
(-8.506683055555555, 115.26263305555555)
(-8.506715, 115.26263805555556)
(-8.506704722222223, 115.26264805555556)
(-8.506728055555556, 115.26263305555555)
(-8.506741388888889, 115.26265)
(-8.50673638888889, 115.26261805555555)
(-8.50671, 115.26265138888888)
(-8.506693055555555, 115.26263805555556)
(-8.506743055555555, 115.26261305555556)
(-8.506584722222222, 115.26269805555556)
(-8.506698055555555, 115.2626363888889)
(-8.506674722222222, 115.26265638888889)
(None, None)
(None, None)
(-8.362699722222223, 116.07675138888888)
(-8.362698055555555, 116.07674638888888)
(-8.362663055555554, 116.07678638888889)
(-8.362788055555555, 116.07677805555555)
(-8.362783055555555, 116.07676805555555)
(-8.362778055555555, 116.076765)
(-8.36277, 116.07678638888889)
(-8.362764722222222, 116.07679)
(-8.362761388888888, 116.07679138888888)
(-8.36273138888889, 116.07678305555555)
(-8.362079722222221, 116.07655638888889)
(-8.362083055555555, 116.07655805555555)
(-8.360118055555555, 116.07588472222221)
(-8.360158055555555, 116.07587305555555)
(-8.357441388888889, 116.07468305555555)
(-8.357438055555555, 116.07469138888888)
(-8.35733638888889, 116.07468638888888)
(-8.357341388888889, 116.07468999999999)
(-8.357359722222222, 116.07468999999999)
(-8.357359722222222, 116.07469638888888)
(-8.357365, 116.07469972222222)
(-8.357373055555556, 116.07471638888889)
(-8.357311388888888, 116.07471305555555)
(-8.357313055555554, 116.07471638888889)
(-8.357316388888888, 116.07472805555555)
(-8.357316388888888, 116.07472805555555)
(-8.357316388888888, 116.07472805555555)
(-8.357318055555556, 116.07472638888889)
(-8.357318055555556, 116.07472138888889)
(-8.357316388888888, 116.07472138888889)
(-8.357314722222222, 116.07472138888889)
(-8.357316388888888, 116.07472138888889)
(-8.357316388888888, 116.07470472222222)
(-8.357348055555555, 116.07474138888888)
(-8.357434999999999, 116.07473138888888)
(-8.357478055555555, 116.07473138888888)
(-8.357478055555555, 116.07473138888888)
(-8.35747638888889, 116.07473472222222)
(-8.357474722222221, 116.07473638888888)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(-8.343269722222223, 116.062855)
(None, None)
(None, None)
(None, None)
(-8.36029138888889, 116.03278138888889)
(-8.360276388888888, 116.03280638888889)
(-8.36027, 116.03276138888889)
(-8.360255, 116.03279638888888)
(None, None)
(None, None)
(None, None)
(-8.361513055555555, 116.03549638888889)
(-8.36146138888889, 116.03597972222222)
(None, None)
(-8.50957, 116.05676972222221)
(-8.509558055555555, 116.05678638888888)
(-8.509521388888889, 116.05669305555556)
(-8.509576388888888, 116.05677138888889)
(-8.50953638888889, 116.05673638888888)
(-8.509573055555556, 116.05678805555556)
(-8.50954638888889, 116.05673805555556)
(-8.509548055555555, 116.056725)
(-8.509548055555555, 116.056725)
(-8.509543055555556, 116.05672305555555)
(None, None)
(-8.509489722222222, 116.05674472222222)
(-8.509515, 116.05671138888889)
(-8.509513055555555, 116.056665)
(-8.508916388888888, 116.05661472222222)
(-8.508896388888889, 116.05662305555555)
(-8.50874138888889, 116.05649638888889)
(None, None)
(None, None)
(-8.894709722222222, 116.28323972222222)
(-8.894301388888888, 116.28388638888889)
(-8.893519999999999, 116.28107638888889)
(-8.893518055555555, 116.28105138888888)
(-8.89344, 116.281005)
(-8.893486388888888, 116.28101972222223)
(None, None)
(None, None)
(None, None)
(1.434755, 103.71793805555556)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(-7.994722222222222, 114.16972222222223)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(None, None)
(-7.607478055555555, 110.20438305555555)
(None, None)
(None, None)
